Date,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,Power_kW,Holiday,Hour,Date Day
2018-02-20 13:00:00,16.828333333333333,34.805,0.0,0.0,1018.8333333333334,651.7083333333334,0.0,0.0,299.58385730000003,0.0,13,2018-02-20
2018-02-20 14:00:00,17.982727272727274,30.34272727272727,0.0,0.0,1018.0,587.2909090909092,0.0,0.0,340.3527764,0.0,14,2018-02-20
2018-02-20 15:00:00,18.065384615384612,31.25230769230769,0.0,0.0,1017.1538461538462,462.53846153846155,0.0,0.0,331.2243662,0.0,15,2018-02-20
2018-02-20 16:00:00,17.558333333333334,35.678333333333335,0.0,0.0,1017.0,286.2666666666667,0.0,0.0,323.2548501,0.0,16,2018-02-20
2018-02-20 17:00:00,16.508333333333333,41.31333333333333,0.0,0.0,1017.0,113.22166666666668,0.0,0.0,303.3225832,0.0,17,2018-02-20
2018-02-20 18:00:00,14.898333333333335,49.70249999999999,0.0,0.0,1017.0,6.164166666666667,0.0,0.0,244.1549383,0.0,18,2018-02-20
2018-02-20 19:00:00,13.658333333333333,51.01333333333333,0.0,0.0,1017.0,0.9113333333333333,0.0,0.0,203.39585630000002,0.0,19,2018-02-20
2018-02-20 20:00:00,13.479999999999999,48.748333333333335,0.0,0.0,1017.0,0.9460833333333335,0.0,0.0,157.9413381,0.0,20,2018-02-20
2018-02-20 21:00:00,13.305,47.97666666666666,0.0,0.0,1017.0,0.9667499999999999,0.0,0.0,151.593897,0.0,21,2018-02-20
2018-02-20 22:00:00,13.215833333333334,47.60916666666666,0.0,0.0,1017.0,0.9324166666666667,0.0,0.0,142.179583,0.0,22,2018-02-20
2018-02-20 23:00:00,13.328333333333333,47.4375,0.0,0.0,1017.0,1.05025,0.0,0.0,143.08982869999997,0.0,23,2018-02-20
2018-02-21 00:00:00,13.384166666666667,46.75000000000001,0.0,0.0,1016.3333333333334,0.8700000000000001,0.0,0.0,142.1155372,0.0,0,2018-02-21
2018-02-21 01:00:00,13.500833333333333,42.817499999999995,0.0,0.0,1016.0,1.0086666666666666,0.0,0.0,139.146826,0.0,1,2018-02-21
2018-02-21 02:00:00,13.25583333333333,40.30916666666666,0.0,0.0,1015.0,0.7246666666666667,0.0,0.0,136.2316956,0.0,2,2018-02-21
2018-02-21 03:00:00,12.895000000000001,40.1,0.0,0.0,1014.5,0.7130833333333334,0.0,0.0,137.675447,0.0,3,2018-02-21
2018-02-21 04:00:00,12.238333333333335,42.436666666666675,0.0,0.0,1014.0,0.6599999999999999,0.0,0.0,135.6835389,0.0,4,2018-02-21
2018-02-21 05:00:00,11.80666666666667,44.063333333333325,0.0,0.0,1014.0,0.92775,0.0,0.0,138.7445514,0.0,5,2018-02-21
2018-02-21 06:00:00,11.431666666666667,45.06166666666666,0.0,0.0,1013.25,0.7060833333333333,0.0,0.0,150.9775085,0.0,6,2018-02-21
2018-02-21 07:00:00,11.341666666666667,44.88333333333333,0.0,0.0,1013.0833333333334,26.352333333333334,0.0,0.0,169.9857159,0.0,7,2018-02-21
2018-02-21 08:00:00,12.12,43.028333333333336,0.0,0.0,1014.0,182.91666666666666,0.0,0.0,256.78765840000005,0.0,8,2018-02-21
